decile,n_customers,n_treated,n_control,conversion_treated,conversion_control,actual_uplift,avg_predicted_uplift
1,5001,2576,2425,0.604,0.5072,0.0968,0.1614
2,5001,2528,2473,0.6044,0.5677,0.0367,0.0881
3,5001,2438,2563,0.6103,0.5985,0.0118,0.0639
4,5001,2497,2504,0.632,0.5907,0.0413,0.0476
5,5001,2500,2501,0.656,0.6078,0.0482,0.0346
6,5001,2509,2492,0.6457,0.6276,0.0181,0.0229
7,5001,2556,2445,0.6663,0.638,0.0282,0.0112
8,5001,2446,2555,0.6693,0.647,0.0223,-0.0021
9,5001,2491,2510,0.6447,0.6283,0.0164,-0.0204
10,5001,2454,2547,0.6333,0.6164,0.0168,-0.0716
