decile,n_customers,n_treated,n_control,conversion_treated,conversion_control,actual_uplift,avg_predicted_uplift
1,5001,2542,2459,0.5386,0.438,0.1006,0.0958
2,5001,2519,2482,0.5506,0.494,0.0567,0.0539
3,5001,2528,2473,0.5728,0.5281,0.0447,0.0405
4,5001,2489,2512,0.5484,0.5529,-0.0045,0.0312
5,5001,2492,2509,0.6003,0.56,0.0403,0.0238
6,5001,2470,2531,0.6445,0.6144,0.0302,0.0175
7,5001,2548,2453,0.6966,0.671,0.0256,0.0123
8,5001,2530,2471,0.764,0.7361,0.0279,0.0078
9,5001,2487,2514,0.7945,0.7828,0.0117,0.004
10,5001,2390,2611,0.6565,0.6511,0.0054,-0.0043
