decile,n_customers,n_treated,n_control,conversion_treated,conversion_control,actual_uplift,avg_predicted_uplift
1,5001,2587,2414,0.5431,0.4528,0.0903,0.1218
2,5001,2451,2550,0.5789,0.5271,0.0519,0.0671
3,5001,2496,2505,0.5974,0.5705,0.0269,0.0495
4,5001,2483,2518,0.6395,0.6124,0.0272,0.0375
5,5001,2570,2431,0.6514,0.6257,0.0257,0.0281
6,5001,2526,2475,0.6817,0.6663,0.0154,0.0199
7,5001,2465,2536,0.7185,0.6818,0.0367,0.0122
8,5001,2484,2517,0.7162,0.6949,0.0213,0.0044
9,5001,2487,2514,0.6647,0.6607,0.004,-0.0059
10,5001,2446,2555,0.5756,0.5378,0.0379,-0.0322
